Variable,Region,Unit,2020,2025,2030,2035,2040,2045,2050,2055,2060,2065,2070,2075,2080,2085,2090,2095,2100,2105,2110,2115,2120,2125,2130,2135,2140,2145,2150
regional_emissions,CAN,GtCO2/yr,0.511577,0.383683,0.255788,0.127895,0.0907005,0.0595408,0.0338364,0.0135214,-0.00693557,-0.0296866,-0.0532781,-0.075279,-0.0950569,-0.114285,-0.136235,-0.171001,-0.107127,-0.036501,-0.036501,-0.036501,-0.036501,-0.036501,-0.0365011,-0.0365011,-0.0365012,-0.0365012,-0.0365014
regional_emissions,USA,GtCO2/yr,5.39382,4.04537,2.69691,1.34846,0.379642,0.131106,-0.0752341,-0.261347,-0.433162,-0.594154,-0.746422,-0.894358,-1.04894,-1.22212,-1.40524,-1.64796,-0.973458,-0.170027,-0.170027,-0.170027,-0.170027,-0.170027,-0.170027,-0.170027,-0.170027,-0.170027,-0.170027
regional_emissions,MEX,GtCO2/yr,0.572878,0.429658,0.286439,0.21284,0.179567,0.139679,0.0981636,0.0572324,0.0147313,-0.0310258,-0.080236,-0.131081,-0.182639,-0.236077,-0.294311,-0.371315,-0.260598,-0.165204,-0.165204,-0.165204,-0.165204,-0.165204,-0.165204,-0.165204,-0.165204,-0.165204,-0.165204
regional_emissions,RCAM,GtCO2/yr,0.302334,0.22675,0.165843,0.148958,0.134306,0.122561,0.110495,0.0938526,0.0684285,0.0330188,-0.0109732,-0.0618407,-0.118504,-0.180746,-0.251492,-0.327074,-0.22929,-0.157126,-0.157126,-0.157126,-0.157126,-0.157126,-0.157127,-0.157127,-0.157127,-0.157127,-0.157127
regional_emissions,BRA,GtCO2/yr,1.57743,1.18307,0.788715,0.394357,0.0503055,-0.0983884,-0.230279,-0.325202,-0.382124,-0.426823,-0.500965,-0.638737,-0.776514,-0.82331,-0.831504,-0.930561,-0.739441,-0.570952,-0.570952,-0.570952,-0.570952,-0.570952,-0.570952,-0.570952,-0.570952,-0.570952,-0.570952
regional_emissions,RSAM,GtCO2/yr,1.38348,1.03761,0.691742,0.345871,0.0588123,-0.0808437,-0.23669,-0.368763,-0.472249,-0.594131,-0.746821,-0.91443,-1.07508,-1.20789,-1.32885,-1.52895,-1.2245,-1.00761,-1.00761,-1.00761,-1.00761,-1.00761,-1.00761,-1.00761,-1.00761,-1.00761,-1.00761
regional_emissions,NAF,GtCO2/yr,0.583268,0.456932,0.468956,0.460248,0.440039,0.414189,0.3967,0.394845,0.396865,0.391355,0.37397,0.344586,0.308966,0.270878,0.228936,0.184259,0.31818,0.510017,0.510017,0.510017,0.510017,0.510017,0.510017,0.510017,0.510017,0.510017,0.510016
regional_emissions,WAF,GtCO2/yr,1.817,1.80243,1.95148,1.60705,1.23226,1.1078,0.981062,0.697532,0.468113,0.388532,0.313861,0.141653,-0.202109,-0.656358,-1.11061,-1.56486,-1.33829,-0.9801,-0.9801,-0.9801,-0.9801,-0.9801,-0.9801,-0.9801,-0.9801,-0.9801,-0.9801
regional_emissions,EAF,GtCO2/yr,0.283526,0.338461,0.410095,0.395193,0.346143,0.307936,0.283331,0.267624,0.260577,0.260665,0.263608,0.259145,0.194045,0.123164,0.0522825,-0.0185989,0.0549783,0.320229,0.320229,0.320229,0.320229,0.320229,0.320229,0.320229,0.320229,0.320229,0.320229
regional_emissions,SAF,GtCO2/yr,0.507151,0.380363,0.253576,0.176497,0.139483,0.111581,0.0837835,0.052306,0.0182821,-0.0166516,-0.0513399,-0.0855878,-0.119677,-0.154176,-0.188731,-0.233002,-0.147622,-0.0678976,-0.0678976,-0.0678976,-0.0678976,-0.0678977,-0.0678977,-0.0678977,-0.0678978,-0.0678979,-0.0678981
regional_emissions,WEU,GtCO2/yr,3.13174,2.3488,1.56587,0.946142,0.790149,0.68707,0.594803,0.492334,0.370856,0.23164,0.08597,-0.0632062,-0.218542,-0.375578,-0.537034,-0.738963,-0.285085,0.237851,0.237851,0.237851,0.237851,0.237851,0.237851,0.237851,0.237851,0.23785,0.23785
regional_emissions,CEU,GtCO2/yr,0.784933,0.5887,0.392466,0.248697,0.205037,0.164763,0.126163,0.0890598,0.0510212,0.0113938,-0.0276831,-0.064407,-0.0977762,-0.126874,-0.15381,-0.188148,-0.102625,-0.0204737,-0.0204737,-0.0204738,-0.0204738,-0.0204738,-0.0204738,-0.0204739,-0.0204739,-0.020474,-0.0204742
