Variable,Region,Unit,2020,2025,2030,2035,2040,2045,2050,2055,2060,2065,2070,2075,2080,2085,2090,2095,2100,2105,2110,2115,2120,2125,2130,2135,2140,2145,2150
population,SEAS,billion * people,0.394819,0.411503,0.425866,0.437598,0.446609,0.452919,0.456769,0.458444,0.458171,0.456143,0.452485,0.447333,0.440946,0.433611,0.425624,0.41724,0.40858,0.399824,0.391537,0.384244,0.377903,0.372373,0.367677,0.363854,0.36086,0.358673,0.357451
population,INDO,billion * people,0.260812,0.269872,0.27738,0.283254,0.287282,0.289295,0.289422,0.287862,0.284802,0.280445,0.275044,0.268855,0.262098,0.254973,0.247645,0.240228,0.232667,0.224985,0.21769,0.211277,0.205708,0.20085,0.196721,0.193361,0.19073,0.188809,0.187735
population,JAP,billion * people,0.125855,0.123872,0.121416,0.118666,0.115712,0.112629,0.109516,0.106437,0.10327,0.0998998,0.0964176,0.0929349,0.0894307,0.0858793,0.0823682,0.0789679,0.0755669,0.0720871,0.0687656,0.0658511,0.0633245,0.061119,0.0592437,0.0577178,0.0565232,0.0556507,0.0551629
population,OCE,billion * people,0.0341575,0.0363757,0.0384963,0.0405002,0.0424215,0.0442955,0.0461088,0.0478277,0.0493875,0.0507286,0.051843,0.0527344,0.0534001,0.0538232,0.0539367,0.0537147,0.0533452,0.0530228,0.0527537,0.0525055,0.0522805,0.0520872,0.0519255,0.0517932,0.0516889,0.051613,0.0515706
population,RSAS,billion * people,0.494073,0.528905,0.561927,0.592322,0.620116,0.645342,0.667197,0.684907,0.698639,0.70882,0.715986,0.720624,0.722926,0.72299,0.720833,0.716671,0.711615,0.706779,0.702397,0.698479,0.695023,0.692025,0.689492,0.687426,0.685805,0.684622,0.683961
population,RSAF,billion * people,0.17262,0.191656,0.211056,0.230495,0.249617,0.268058,0.285462,0.30155,0.316365,0.32998,0.342272,0.353126,0.362671,0.370973,0.377615,0.382396,0.386448,0.390869,0.39528,0.399091,0.402345,0.405202,0.407645,0.409628,0.411177,0.41231,0.412944
global_population,Global,billion * people,7.6715,8.0137,8.32768,8.6093,8.85718,9.06981,9.24254,9.3716,9.45997,9.51206,9.5311,9.51983,9.48023,9.4144,9.32571,9.21893,9.10323,8.98822,8.88076,8.78574,8.70278,8.63055,8.5693,8.51941,8.48031,8.45176,8.43581
baseline_GDP,CAN,USD2005 * trillion / year,1.53652,1.69713,1.86741,2.05446,2.25255,2.45395,2.65568,2.85902,3.07731,3.32224,3.58666,3.85994,4.13649,4.41287,4.68955,4.96829,5.25244,5.54115,5.81533,6.05635,6.26564,6.44822,6.60337,6.72965,6.82853,6.90074,6.94111
baseline_GDP,USA,USD2005 * trillion / year,16.4132,18.3457,20.2036,21.8921,23.4361,24.8876,26.2899,27.6842,29.1133,30.5993,32.0806,33.4938,34.8504,36.1714,37.4396,38.6444,39.8405,41.0676,42.2413,43.2704,44.162,44.9404,45.6025,46.1412,46.5628,46.8708,47.043
baseline_GDP,MEX,USD2005 * trillion / year,1.94717,2.27636,2.63567,3.01939,3.43194,3.87923,4.36306,4.88377,5.44019,6.03115,6.65722,7.31845,8.01123,8.73262,9.48612,10.2743,11.0898,11.914,12.6935,13.3798,13.9765,14.4968,14.9387,15.2985,15.5802,15.7859,15.9009
baseline_GDP,RCAM,USD2005 * trillion / year,1.00029,1.2097,1.45321,1.72489,2.03117,2.37981,2.77153,3.20614,3.68679,4.21672,4.79623,5.42474,6.10119,6.82432,7.59267,8.4027,9.24276,10.091,10.8929,11.5989,12.2129,12.7483,13.203,13.5731,13.863,14.0747,14.193
baseline_GDP,BRA,USD2005 * trillion / year,2.69705,3.15384,3.6183,4.06052,4.49194,4.93047,5.37844,5.83291,6.28555,6.73029,7.1757,7.62978,8.08365,8.52827,8.97067,9.4204,9.88111,10.3484,10.7916,11.1813,11.5199,11.8152,12.0662,12.2704,12.4303,12.5471,12.6124
baseline_GDP,RSAM,USD2005 * trillion / year,2.98887,3.57507,4.21119,4.89162,5.61838,6.39456,7.22002,8.09337,9.01146,9.9694,10.957,11.9651,12.9939,14.0431,15.1015,16.1607,17.2362,18.3305,19.3709,20.2851,21.0787,21.7711,22.3595,22.8384,23.2134,23.4873,23.6404
baseline_GDP,NAF,USD2005 * trillion / year,1.38627,1.76784,2.22272,2.72196,3.26706,3.8656,4.51882,5.22676,5.99103,6.80874,7.65737,8.51531,9.38416,10.2687,11.1632,12.0631,12.979,13.9101,14.7947,15.5722,16.2473,16.8362,17.3367,17.7441,18.063,18.296,18.4262
baseline_GDP,WAF,USD2005 * trillion / year,1.18514,1.6339,2.22972,2.99815,3.99985,5.30603,6.99485,9.14685,11.8449,15.1688,19.1834,23.9386,29.4378,35.6886,42.7617,50.6563,59.022,67.4041,75.2822,82.2333,88.2904,93.5678,98.0466,101.694,104.551,106.637,107.803
baseline_GDP,EAF,USD2005 * trillion / year,0.533812,0.720278,0.968857,1.29133,1.71784,2.28257,3.01738,3.95521,5.13565,6.599,8.38191,10.5141,13.0015,15.8548,19.1289,22.8384,26.7912,30.7439,34.4534,37.7282,40.5832,43.0703,45.1806,46.899,48.2455,49.2285,49.7779
baseline_GDP,SAF,USD2005 * trillion / year,0.66943,0.811315,0.966857,1.12781,1.29292,1.46284,1.63895,1.82243,2.01279,2.20863,2.40644,2.60273,2.79614,2.98519,3.1657,3.33551,3.50327,3.67571,3.84084,3.98557,4.1109,4.22034,4.31344,4.38918,4.44847,4.49177,4.51598
baseline_GDP,WEU,USD2005 * trillion / year,14.33,15.4234,16.6376,17.951,19.3624,20.8734,22.4735,24.1578,25.9531,27.8757,29.8675,31.8688,33.8879,35.9433,38.0249,40.1235,42.2616,44.4344,46.4982,48.3123,49.8875,51.2617,52.4295,53.3799,54.1241,54.6676,54.9714
baseline_GDP,CEU,USD2005 * trillion / year,2.48099,2.82367,3.18159,3.53437,3.86824,4.17543,4.46529,4.75172,5.04952,5.36639,5.6805,5.96935,6.23729,6.49502,6.7519,7.01536,7.28636,7.56081,7.82082,8.04958,8.24839,8.42177,8.56906,8.68895,8.78285,8.85141,8.88974
