Variable,Region,Unit,2020,2025,2030,2035,2040,2045,2050,2055,2060,2065,2070,2075,2080,2085,2090,2095,2100,2105,2110,2115,2120,2125,2130,2135,2140,2145,2150
regional_emissions,KOR,GtCO2/yr,0.784572,0.588429,0.392286,0.291625,0.23731,0.193612,0.156663,0.12463,0.0969896,0.0734246,0.0531933,0.0358296,0.0215451,0.0102735,0.00163731,-0.00460126,-0.0384756,-0.0289488,-0.0289488,-0.0289489,-0.0289489,-0.0289489,-0.0289489,-0.028949,-0.028949,-0.0289491,-0.0289493
regional_emissions,CHN,GtCO2/yr,11.3913,8.54349,5.69566,3.85452,2.92247,2.1293,1.44795,0.87651,0.403806,0.0171153,-0.284268,-0.501884,-0.652713,-0.761633,-0.840315,-0.887387,-1.39522,-1.26387,-1.26387,-1.26387,-1.26387,-1.26387,-1.26387,-1.26387,-1.26387,-1.26387,-1.26387
regional_emissions,SEAS,GtCO2/yr,1.51417,1.13971,1.21048,1.18129,1.10072,1.0032,0.927237,0.889908,0.857219,0.805165,0.751532,0.707371,0.650229,0.569759,0.494188,0.440693,0.223746,0.24234,0.24234,0.24234,0.24234,0.24234,0.24234,0.24234,0.24234,0.24234,0.242339
regional_emissions,INDO,GtCO2/yr,1.63506,1.22629,1.00126,0.924058,0.839171,0.731785,0.633362,0.563515,0.507948,0.452855,0.392452,0.32693,0.264544,0.209797,0.16055,0.115492,-0.0471238,-0.0609775,-0.0609775,-0.0609775,-0.0609776,-0.0609776,-0.0609776,-0.0609777,-0.0609777,-0.0609778,-0.060978
regional_emissions,JAP,GtCO2/yr,1.06462,0.798468,0.532312,0.266157,0.21068,0.172352,0.140063,0.110791,0.0826444,0.0552763,0.0300497,0.00801569,-0.0110011,-0.0280292,-0.0434664,-0.0561814,-0.122711,-0.114133,-0.114133,-0.114133,-0.114133,-0.114133,-0.114133,-0.114133,-0.114133,-0.114133,-0.114134
regional_emissions,OCE,GtCO2/yr,0.388396,0.291297,0.194198,0.0970991,0.0519306,0.0310888,0.0103767,-0.00735779,-0.0221146,-0.0389425,-0.056701,-0.0682387,-0.0759108,-0.0872866,-0.101689,-0.113943,-0.166076,-0.167836,-0.167836,-0.167836,-0.167836,-0.167836,-0.167836,-0.167836,-0.167836,-0.167836,-0.167836
regional_emissions,RSAS,GtCO2/yr,0.417044,0.40199,0.476301,0.535395,0.5947,0.664335,0.747897,0.842005,0.927475,0.990366,1.03722,1.07484,1.10143,1.1148,1.11374,1.02997,0.925711,0.932868,0.932868,0.932868,0.932868,0.932867,0.932867,0.932867,0.932867,0.932867,0.932867
regional_emissions,RSAF,GtCO2/yr,0.786528,0.589896,0.580193,0.796513,0.957372,0.862007,0.665377,0.530966,0.483471,0.504422,0.560272,0.620187,0.66246,0.67742,0.677066,0.670575,0.544293,0.609288,0.609288,0.609288,0.609288,0.609288,0.609288,0.609288,0.609288,0.609288,0.609288
baseline,CAN,GtCO2/yr,0.511577,0.521687,0.545979,0.569316,0.568545,0.540473,0.515384,0.530473,0.566553,0.595939,0.60595,0.591601,0.565204,0.542136,0.535238,0.551731,0.57853,0.596328,0.617956,0.636683,0.65366,0.668223,0.680408,0.690365,0.698177,0.703827,0.706915
baseline,USA,GtCO2/yr,5.39382,5.17224,4.97412,4.89846,4.83436,4.86558,4.92164,4.95328,4.95242,4.91693,4.86389,4.81783,4.81657,4.88366,4.97351,5.04005,5.09599,5.11318,5.21782,5.27671,5.328,5.37322,5.41211,5.44395,5.46907,5.48776,5.49883
